objno_deep2,z_pred
12011416,0.43513101833873424
12023279,0.8204859755784446
13017399,1.0059265096220598
12008131,0.4596165466119758
12003729,0.6581691656273511
12003313,1.1312752658769853
11021040,0.7004343528938043
13020559,0.9200128950622576
14029818,1.080917938957605
13049159,0.6549057421638602
13026194,1.1367114037612078
13028427,0.6084436100063326
13035570,0.6256270337337148
13018058,0.4288215518388132
12005533,0.656412861290022
12027865,1.15808294114655
14028737,1.0288411773782251
13034892,0.7888932361279856
13058802,0.7155949498036284
13034266,0.45314226057792
12015933,1.3524821077108966
13019356,1.080917938957605
13043664,0.6320132603766705
13026703,0.8709756423229277
14034435,0.3973177063878986
11045189,0.46951431675381344
12029430,0.5200459713088297
12020460,0.5207571827724387
11051190,0.5086746300193958
12020226,1.1335648237814628
13064313,1.0893049226777671
12029047,1.1297137061776004
13064464,0.5547669023343231
14024652,1.17425338780756
14012814,0.8924058401932422
14021539,0.8924058401932422
13058710,0.4896483594386416
11027452,0.9323389530028049
13026761,0.750352265055687
13055360,0.8959710836736974
12024872,0.924510449509327
12021021,1.1115678455669282
11051962,0.3191704519630469
12027965,0.5313819709682
13051672,0.20846129325662485
11032750,0.4955086115024853
13055272,0.7932489782204191
11101473,0.8924058401932422
11006363,0.7197525769122805
11034334,1.1398256005735092
11033434,0.34667836581007705
14028987,0.6091158596888508
12004729,0.9827088196845447
14018493,0.5669449708478161
13020183,1.120267900487331
13010247,1.0789105439025204
13003917,1.080917938957605
12012294,1.526162855181379
11051724,0.29371302483636524
13032491,0.4485715240646007
12101115,1.3559026212443055
12028825,0.7045650849300257
11040256,1.2795584934990503
14034601,1.2607700359634275
14023103,0.48719540442845394
11015202,0.6673878371779115
14011252,0.45653761009084737
12028457,0.5385542211153664
12007663,0.9252850738437364
14028119,1.109063442554096
14007176,0.5267861977522915
12025109,1.1826996453069805
14028452,0.6975688043582724
11013937,0.7371135952473982
12017074,0.6495301197625326
14016678,1.1550858096625467
14033288,0.491916398103416
12029045,0.6313306401679928
13026732,1.0113050310917133
13027026,1.1464211698910978
13025375,0.8024195467659981
13012069,0.5264889641008575
12007621,0.7217643408366715
12016619,0.8098070975882805
12007683,1.0227736915012395
11045638,1.0845977266485778
13005509,0.43625752711218013
13032755,1.0192863389572897
12003637,1.0427474691938263
12028626,0.5441031746528302
12032544,0.2398297418623807
14017935,0.5214595646135028
13040732,0.5437696812919472
11044620,0.24750928179315812
13034445,1.0876618605000632
13035996,1.1324446458622244
11051648,0.78681700187815
11046508,0.493449174118869
12024336,1.5145333460060175
13051230,0.3957407955207198
12009171,1.0655271457501287
12032532,0.4554686936512212
11007823,0.2620781358299599
14011560,1.1859080555784316
13019862,0.4151406788345735
13026080,0.8371725137505105
13035330,0.39334308382209127
12029226,0.8753351114087099
12012494,0.48279536315020477
14018277,0.5995350158166931
13040940,1.091902740453408
13034137,0.9605198830959758
12023760,0.33115073986832966
12028365,0.4104927498402404
11033809,1.134926018791552
11045168,1.0719655922588636
12016592,0.5255087534253825
11007873,0.42623975175177253
13063785,0.3658626087589355
13011113,0.651326670972799
14016865,0.538295072543042
11045186,0.4548074890281166
14034659,0.4569359851135435
12024884,0.7680864610828626
12015938,1.1516174516043975
14011284,0.7652748790419469
11031171,0.2882924490879963
13010923,0.6886749508278646
12008251,1.2350184798700126
13035874,0.9798872905797521
12012513,0.5117970551891838
13003434,0.6950871803633549
14018687,1.2435280203095478
12005419,1.0636415092970388
13049865,0.6223453009802985
12024755,1.5230992326742891
14006846,0.5288656038470899
14023227,0.45322313303234124
11027394,0.7717950822647802
11033559,0.7530773131650134
14006887,0.4256497031421946
12019713,0.5425213396245336
12019135,0.6799245576817676
13040908,0.5095370697281735
13101049,0.6501039864647467
11047070,0.5622345450756302
14016263,1.1883862912048426
13020587,0.1641389894908047
12012782,0.5370104326102698
12101118,0.8029691085379166
13020535,0.2815975378275388
12028551,0.7639016938904697
14012641,1.1916922672121968
13025271,0.7160741495406501
14006544,0.6621397263167733
13011059,0.6876194765923276
13055576,1.080917938957605
13025832,0.5308032700815614
12012068,0.6791321630383067
13063861,0.38674064160143556
11052736,0.6961564540127545
12012433,0.47266790343967047
14022965,1.0427020210772255
11046356,0.42678926469680145
14027841,0.5166111479213087
11014351,1.1743982154300336
14034483,0.2466530348196581
12004443,0.6889928423773377
12025024,0.3971451101060062
13010951,0.6198155775658728
13063832,1.421521151431361
12024917,0.14993997266124098
11051726,0.9163609474334335
13057557,0.5205994976640912
14027397,0.5805782740039185
11044350,1.059327965121007
12019902,1.3158667145956504
11044680,0.8184441982867763
13027445,0.36829294088357306
13017202,0.8175546848875824
12012794,0.7219349924871147
13027139,0.8041935848506722
12027358,1.2896431104239963
11040228,0.48469618462720054
11050883,1.080917938957605
14100756,0.8924058401932422
14007996,0.7428370226055228
12023622,1.1115678455669282
13040065,0.5436254661371905
12100758,1.0746184143030435
12007196,0.6477668195503622
12015118,1.2703609640897793
13016341,0.7342015091384642
13056000,0.4971833603370052
13057505,0.9904313669395731
13003385,0.27406031027338323
11051235,0.5129229454748293
11038382,1.2173866972526617
12020279,1.087956715358237
12025532,0.9053829991011334
13036413,0.41444634159823696
14006178,0.5949787547538928
13034499,0.7089945570666232
11019069,0.9018942728432865
14100805,1.3865866595011045
13100238,0.6862317517610086
14039621,0.33324205503381493
12100559,1.3351965646997268
14007400,0.9715975188731228
13059034,0.3166539025778547
12100154,0.2516013209280554
13019398,0.6368425751429845
13033760,1.268250383972414
12023941,1.340215004784862
11050775,0.8207411208602121
12020615,0.35563098419222483
11040739,0.7507842397816133
14017067,0.7405913458907109
13064937,0.5228031976293286
13035084,1.269988102003697
12009094,0.356493119138072
14028799,1.2450218081950657
11031579,0.8924058401932422
13055292,0.5451752169280928
13050924,0.9816572978401152
13100756,0.4710130208114545
11014390,1.0397132812179946
13063155,1.4048963908514567
13042393,1.080917938957605
13018922,1.1632369950880899
13062953,0.9741951162999226
13057852,0.5229819888009685
14039955,0.5408897274383668
11051653,0.8261603126165079
11039583,0.24034921003581303
11020631,0.7747356260581161
12024894,0.25675950261329183
12029588,0.5272374929484641
13051092,0.7496782948628111
13009933,0.42585941310683717
13003269,1.0188650874047127
13101295,1.5532507522515127
12016787,0.23738414818583095
14012587,0.7449422080353826
12024580,0.5674442239376281
12016281,0.5392955530504451
11046351,0.830610427672502
14029107,0.7896056696027183
13056983,1.2607423023388242
13012487,0.7244388859120267
14035145,0.3198249559216178
13004837,1.1115678455669282
13043436,1.0338103226533213
12016347,0.30398931659572626
12011961,0.8924058401932422
14035098,1.2669176145347316
13036478,1.3202501628424692
11037772,1.080917938957605
13032926,0.7645087449809185
12015392,0.7840347106555278
12008827,0.7922170570089063
13050172,0.5770860997668744
12020308,1.3973692444456451
12027772,0.6276771543343149
13010374,1.1094380400852937
12003792,0.678066587156072
13018943,0.3777916824695602
12024858,0.24916763338265255
14016974,0.5617604226311396
12028140,0.7891369890132421
12012326,0.4228993548247928
13063956,0.45674377726676646
11021273,0.9146780791769964
11032910,0.8660183496409624
11026927,0.5245333716928005
13058766,0.3429141758828224
11026386,1.0661969921644199
13040203,1.080917938957605
14100370,0.5712345599932476
12008510,0.2895989818584218
12011295,0.4763018468026572
14012797,0.48665609880746585
12005047,0.8489696125943749
13009902,0.6114225431801649
14027189,1.177026675418597
13026154,1.080917938957605
13004292,0.366857568709714
12101094,1.341624555885932
11007848,0.4579782867487804
11047679,0.5335926821473737
13035903,1.2229213520623166
13010896,1.0074549866237232
14006821,0.8880085544034836
11046473,0.5954793265072392
13064139,0.3670475400567063
13024769,0.7330864177830232
11046267,1.079321064199848
12100759,1.0468786530752956
13042361,0.9163743340596574
12009037,0.5606426865471131
12012215,0.29576103483044003
14100096,1.080917938957605
11031303,0.8262462116956949
13044266,0.8120534657892506
11044182,0.49709973517356987
12011668,0.9561306305878804
13101995,0.6032721816293942
14028429,0.38714758550144057
13049825,0.6706786015506317
13040741,0.4206491741522804
11038273,1.5513111688490617
12020063,0.5113842593864283
11021746,0.5150121857358678
12017388,0.8358790944247674
11026382,0.3845186481814175
12008911,1.1932971634465483
13063856,0.9103363498539419
13026542,0.9538340842557941
11051499,0.9598546546805856
12011767,1.1723871985570888
13010099,0.6766482762124864
12003765,0.566917988348696
13041676,0.2264963041480558
11032358,0.5697811214614403
13010254,1.2583969648782503
12025231,0.07678553956577722
13020230,0.713188705967919
14016225,0.5583151012039138
12007511,0.8370566469607524
12013238,0.5309658128326631
12015531,0.6674464604473522
12012064,0.6582464297701849
14017982,0.37891837244543836
14023644,1.1130339778852831
11039706,0.7951910719462136
13026112,0.42012144331897905
13033731,1.2528793686519637
12016719,0.5687179155006234
